"id","zip_code","sid","default_state","default_city","default_type"
272,"01108",26,"MA","SPRINGFIELD","STANDARD"
273,"01109",26,"MA","SPRINGFIELD","STANDARD"
274,"01111",26,"MA","SPRINGFIELD","UNIQUE"
275,"01115",26,"MA","SPRINGFIELD","PO BOX"
276,"01116",26,"MA","LONGMEADOW","PO BOX"
277,"01118",26,"MA","SPRINGFIELD","STANDARD"
278,"01119",26,"MA","SPRINGFIELD","STANDARD"
279,"01128",26,"MA","SPRINGFIELD","STANDARD"
280,"01129",26,"MA","SPRINGFIELD","STANDARD"
281,"01138",26,"MA","SPRINGFIELD","PO BOX"
282,"01139",26,"MA","SPRINGFIELD","PO BOX"
283,"01144",26,"MA","SPRINGFIELD","STANDARD"
284,"01151",26,"MA","INDIAN ORCHARD","STANDARD"
285,"01152",26,"MA","SPRINGFIELD","STANDARD"
286,"01199",26,"MA","SPRINGFIELD","UNIQUE"
287,"01201",26,"MA","PITTSFIELD","STANDARD"
288,"01202",26,"MA","PITTSFIELD","PO BOX"
289,"01203",26,"MA","PITTSFIELD","PO BOX"
290,"01220",26,"MA","ADAMS","STANDARD"
291,"01222",26,"MA","ASHLEY FALLS","STANDARD"
292,"01223",26,"MA","BECKET","STANDARD"
293,"01224",26,"MA","BERKSHIRE","STANDARD"
294,"01225",26,"MA","CHESHIRE","STANDARD"
295,"01226",26,"MA","DALTON","STANDARD"
296,"01227",26,"MA","DALTON","PO BOX"
297,"01229",26,"MA","GLENDALE","PO BOX"
298,"01230",26,"MA","GREAT BARRINGTON","STANDARD"
299,"01235",26,"MA","HINSDALE","STANDARD"
300,"01236",26,"MA","HOUSATONIC","STANDARD"
301,"01237",26,"MA","LANESBOROUGH","STANDARD"
302,"01238",26,"MA","LEE","STANDARD"
303,"01240",26,"MA","LENOX","STANDARD"
304,"01242",26,"MA","LENOX DALE","PO BOX"
305,"01243",26,"MA","MIDDLEFIELD","PO BOX"
306,"01244",26,"MA","MILL RIVER","PO BOX"
307,"01245",26,"MA","MONTEREY","STANDARD"
308,"01247",26,"MA","NORTH ADAMS","STANDARD"
309,"01252",26,"MA","NORTH EGREMONT","STANDARD"
310,"01253",26,"MA","OTIS","STANDARD"
311,"01254",26,"MA","RICHMOND","STANDARD"
312,"01255",26,"MA","SANDISFIELD","STANDARD"
313,"01256",26,"MA","SAVOY","STANDARD"
314,"01257",26,"MA","SHEFFIELD","STANDARD"
315,"01258",26,"MA","SOUTH EGREMONT","PO BOX"
316,"01259",26,"MA","SOUTHFIELD","STANDARD"
317,"01260",26,"MA","SOUTH LEE","PO BOX"
318,"01262",26,"MA","STOCKBRIDGE","PO BOX"
319,"01263",26,"MA","STOCKBRIDGE","UNIQUE"
320,"01264",26,"MA","TYRINGHAM","PO BOX"
321,"01266",26,"MA","WEST STOCKBRIDGE","STANDARD"
322,"01267",26,"MA","WILLIAMSTOWN","STANDARD"
323,"01270",26,"MA","WINDSOR","STANDARD"
324,"01301",26,"MA","GREENFIELD","STANDARD"
325,"01302",26,"MA","GREENFIELD","PO BOX"
326,"01330",26,"MA","ASHFIELD","STANDARD"
327,"01331",26,"MA","ATHOL","STANDARD"
328,"01337",26,"MA","BERNARDSTON","STANDARD"
329,"01338",26,"MA","BUCKLAND","STANDARD"
330,"01339",26,"MA","CHARLEMONT","STANDARD"
331,"01340",26,"MA","COLRAIN","STANDARD"
332,"01341",26,"MA","CONWAY","STANDARD"
333,"01342",26,"MA","DEERFIELD","STANDARD"
334,"01343",26,"MA","DRURY","STANDARD"
335,"01344",26,"MA","ERVING","STANDARD"
336,"01346",26,"MA","HEATH","STANDARD"
337,"01347",26,"MA","LAKE PLEASANT","PO BOX"
338,"01349",26,"MA","MILLERS FALLS","STANDARD"
339,"01350",26,"MA","MONROE BRIDGE","PO BOX"
340,"01351",26,"MA","MONTAGUE","STANDARD"
341,"01354",26,"MA","GILL","STANDARD"
342,"01355",26,"MA","NEW SALEM","STANDARD"
343,"01360",26,"MA","NORTHFIELD","STANDARD"
344,"01364",26,"MA","ORANGE","STANDARD"
345,"01366",26,"MA","PETERSHAM","STANDARD"
346,"01367",26,"MA","ROWE","STANDARD"
347,"01368",26,"MA","ROYALSTON","STANDARD"
348,"01370",26,"MA","SHELBURNE FALLS","STANDARD"
349,"01373",26,"MA","SOUTH DEERFIELD","STANDARD"
350,"01375",26,"MA","SUNDERLAND","STANDARD"
351,"01376",26,"MA","TURNERS FALLS","STANDARD"
352,"01378",26,"MA","WARWICK","STANDARD"
353,"01379",26,"MA","WENDELL","STANDARD"
354,"01380",26,"MA","WENDELL DEPOT","STANDARD"
355,"01420",26,"MA","FITCHBURG","STANDARD"
356,"01430",26,"MA","ASHBURNHAM","STANDARD"
